"station_name","year","safe_chill"
"CERRO MORENO INTL","observed",3.02671436168413
"SALTA","observed",25.5654730097444
"ESQUEL","observed",80.3632192783537
"JUJUY","observed",19.4776398036193
"SAN JUAN","observed",45.4469636099595
"GOBERNADOR CASTELLO","observed",67.8342527898871
"RECONQUISTA AERO","observed",16.9750555160667
"GUALEGUAYCHU","observed",36.809893770134
"MINISTRO PISTARINI","observed",47.615556603035
"TANDIL","observed",68.5065929447351
"AEROPARQUE JORGE NEWBERY","observed",39.1754917186675
"LAGUNA DE LOS PATOS INTL","observed",42.4337926458335
"ALMIRANTE ZAR","observed",69.1471982323007
"NUEVA HESPERIDES INTL","observed",25.5069936824188
"COMODORO PIERRESTEGUI","observed",26.7999503095685
"SAN RAFAEL","observed",51.3881367658942
"RESISTENCIA","observed",11.8678455642694
"CORRIENTES","observed",8.44530332386584
"MAR DEL PLATA","observed",67.7295274827961
"PASO DE LOS TOROS","observed",38.4292811100095
"PASO DE LOS LIBRES","observed",18.9200256666533
"CARRASCO INTL","observed",46.3805021871992
"ARTIGAS INTL","observed",21.7791247318806
"BALMACEDA","observed",76.2685082439455
"FORMOSA","observed",6.73282833120115
"COMODORO RIVADAVIA","observed",77.844178175629
"MALARGUE","observed",68.8858429014624
"PRESIDENTE GENERAL DON OSCAR D GESTIDO","observed",28.0159906437603
"ROCHA","observed",42.3588163788012
"SILVIO PETTIROSSI INTL","observed",4.18883311914606
"POSADAS","observed",6.85538391083553
"CHACALLUTA","observed",0
"CORONEL CARLOS CIRIANI SANTA ROSA INTL","observed",0
"JORGE WILSTERMAN","observed",0
"CATARATAS DEL IGUAZU","observed",7.73614774972448
"CATARATAS INTL","observed",6.75394699016045
"EL ALTO INTL","observed",74.5187826394445
"LA FLORIDA","observed",49.5292835487735
"SAN JULIAN","observed",83.1162937535548
"EL TROMPILLO","observed",0.699978898229269
"SALGADO FILHO","observed",11.3073883520998
"RIO GALLEGOS","observed",79.1944677007274
"TTE AV JORGE HENRICH ARAUZ","observed",0
"CAMPO GRANDE","observed",0
"TENIENTE ALEJANDRO VELASCO ASTETE INTL","observed",30.5556005731627
"PISCO INTL","observed",0
"LONDRINA 2","observed",0.980513210749207
"CARLOS IBANEZ DEL CAMPO INTL","observed",79.6207548092111
"SAN LUIS","observed",40.1837638640366
"HERCILIO LUZ","observed",1.04210471297264
"AFONSO PENA","observed",13.2172022084883
"RIO GRANDE 2","observed",71.1556998436467
"JORGE CHAVEZ INTL","observed",0
"HEROES DEL ACRE","observed",0
"MARECHAL RONDON","observed",0
"VIRACOPOS","observed",0
"CONGONHAS","observed",1.0025967676833
"CAP FAP DAVID ABENZUR RENGIFO INTL","observed",0
"CAPITAN CARLOS MARTINEZ DE PINILLOS","observed",0
"CARRIEL SUR INTL","observed",69.546646644646
"GALEAO ANTONIO CARLOS JOBIM","observed",0
"SANTOS DUMONT","observed",0
"PRESIDENTE JUSCELINO KUBITSCHEK","observed",0
"CAPT JOSE A  QUINONES GONZALES INTL","observed",0
"ALFREDO VASQUEZ COBO","observed",0
"CAPITAN FAP GUILLERMO CONCHA IBERICO","observed",0
"CORONEL FRANCISCO SECADA VIGNETTA INTL","observed",0
