"station_name","year","safe_chill"
"ARTURO MERINO BENITEZ INTL","1981",63.7280850659517
"ARTURO MERINO BENITEZ INTL","2017",51.4310948085504
"ARTURO MERINO BENITEZ INTL","1985",62.3610479546142
"ARTURO MERINO BENITEZ INTL","1989",61.3108870940032
"ARTURO MERINO BENITEZ INTL","1993",56.536151367271
"ARTURO MERINO BENITEZ INTL","1997",54.9893494620528
"ARTURO MERINO BENITEZ INTL","2001",56.2126913284551
"ARTURO MERINO BENITEZ INTL","2005",55.5684482700362
"ARTURO MERINO BENITEZ INTL","2009",54.2709632519154
"ARTURO MERINO BENITEZ INTL","2013",53.4848964431596
"LA RIOJA","1981",26.1384024333065
"LA RIOJA","2017",21.6227016369926
"LA RIOJA","1985",23.975881220772
"LA RIOJA","1989",22.4942093385903
"LA RIOJA","1993",20.7540380265764
"LA RIOJA","1997",19.9589443705172
"LA RIOJA","2001",20.1036434884384
"LA RIOJA","2005",21.8933370343204
"LA RIOJA","2009",20.7314758638854
"LA RIOJA","2013",21.6338142735581
"Lago Peuelas","1981",72.5965214531375
"Lago Peuelas","2017",67.9722550917086
"Lago Peuelas","1985",71.1702049290357
"Lago Peuelas","1989",69.8730933794022
"Lago Peuelas","1993",66.129851296691
"Lago Peuelas","1997",65.8053961990317
"Lago Peuelas","2001",66.8771380972084
"Lago Peuelas","2005",69.6576839571444
"Lago Peuelas","2009",70.1049735400534
"Lago Peuelas","2013",70.1817584106398
"Los Panguiles","1981",65.8507416787215
"Los Panguiles","2017",61.2308161467417
"Los Panguiles","1985",63.796468341656
"Los Panguiles","1989",63.6836747785178
"Los Panguiles","1993",59.3113048936102
"Los Panguiles","1997",59.5170959116103
"Los Panguiles","2001",59.9017687705432
"Los Panguiles","2005",61.1494900996836
"Los Panguiles","2009",60.9739875550554
"Los Panguiles","2013",60.3044084333856
"Pudahuel Santiago","1981",69.5330798042942
"Pudahuel Santiago","2017",61.2962550707944
"Pudahuel Santiago","1985",68.2218824416977
"Pudahuel Santiago","1989",68.0959470687221
"Pudahuel Santiago","1993",65.4242108647886
"Pudahuel Santiago","1997",64.8917315090948
"Pudahuel Santiago","2001",65.2205895928882
"Pudahuel Santiago","2005",64.7234988656801
"Pudahuel Santiago","2009",62.6825564439455
"Pudahuel Santiago","2013",61.9633189748432
"Vilcuya","1981",57.6664737193651
"Vilcuya","2017",51.8869252145737
"Vilcuya","1985",56.2916370567391
"Vilcuya","1989",54.7490720745127
"Vilcuya","1993",52.9961226555479
"Vilcuya","1997",50.0457485523311
"Vilcuya","2001",49.912900743057
"Vilcuya","2005",50.4605809009531
"Vilcuya","2009",50.0436264703533
"Vilcuya","2013",50.394028323582
"Alicahue","1981",52.9014684863832
"Alicahue","2017",51.2089731237579
"Alicahue","1985",52.5397150036333
"Alicahue","1989",53.9439862207146
"Alicahue","1993",49.777693123435
"Alicahue","1997",50.8770112326592
"Alicahue","2001",51.2134453153403
"Alicahue","2005",50.8538515522669
"Alicahue","2009",49.9608353721113
"Alicahue","2013",50.9040697305982
"Quinta Normal Santiago","1981",62.4434567632056
"Quinta Normal Santiago","2017",53.9458793387912
"Quinta Normal Santiago","1985",62.1380168731484
"Quinta Normal Santiago","1989",61.8032903214353
"Quinta Normal Santiago","1993",58.4249436598402
"Quinta Normal Santiago","1997",58.5538583751359
"Quinta Normal Santiago","2001",58.6155147220979
"Quinta Normal Santiago","2005",58.3962316229208
"Quinta Normal Santiago","2009",55.5338390542954
"Quinta Normal Santiago","2013",55.1785119304104
"Cerro Calan","1981",59.2473236775068
"Cerro Calan","2017",50.99932275628
"Cerro Calan","1985",57.6173363853968
"Cerro Calan","1989",56.1028818098903
"Cerro Calan","1993",53.4511668065061
"Cerro Calan","1997",53.3460164173298
"Cerro Calan","2001",51.7212604541746
"Cerro Calan","2005",51.9806516273075
"Cerro Calan","2009",50.6155478248056
"Cerro Calan","2013",52.0479625475236
"Eulogio Sanchez Tobalaba Ad.","1981",65.985330875068
"Eulogio Sanchez Tobalaba Ad.","2017",57.572847728904
"Eulogio Sanchez Tobalaba Ad.","1985",65.0824534839521
"Eulogio Sanchez Tobalaba Ad.","1989",64.5274134264696
"Eulogio Sanchez Tobalaba Ad.","1993",61.2993896651806
"Eulogio Sanchez Tobalaba Ad.","1997",58.8718617637323
"Eulogio Sanchez Tobalaba Ad.","2001",59.6974107506371
"Eulogio Sanchez Tobalaba Ad.","2005",59.5002846810487
"Eulogio Sanchez Tobalaba Ad.","2009",58.5043526422342
"Eulogio Sanchez Tobalaba Ad.","2013",58.4291294898781
"Los Condores","1981",49.7698007712288
"Los Condores","2017",42.9040776301067
"Los Condores","1985",48.0673712940493
"Los Condores","1989",47.2075156132705
"Los Condores","1993",42.0923552142734
"Los Condores","1997",42.9848660120756
"Los Condores","2001",44.9328958766509
"Los Condores","2005",47.0767619907974
"Los Condores","2009",46.2318747260929
"Los Condores","2013",44.9351640928776
"Santo Domingo Ad.","1981",70.7786341744891
"Santo Domingo Ad.","2017",68.7231892813434
"Santo Domingo Ad.","1985",69.3232846551764
"Santo Domingo Ad.","1989",69.1535035824454
"Santo Domingo Ad.","1993",67.0685932283777
"Santo Domingo Ad.","1997",67.2848262222706
"Santo Domingo Ad.","2001",68.7707434927124
"Santo Domingo Ad.","2005",69.8023980660237
"Santo Domingo Ad.","2009",70.0326562223445
"Santo Domingo Ad.","2013",69.6741835746161
"RIO CUARTO AREA DE MATERIAL","1981",50.4911932401737
"RIO CUARTO AREA DE MATERIAL","2017",40.7613034913454
"RIO CUARTO AREA DE MATERIAL","1985",49.1921288177246
