"station_name","rcp","year","pessimistic","intermediate","optimistic"
"Adolfo Matthei","rcp45","2050",79.3951096884884,82.721276382209,85.4003345154397
"Adolfo Matthei","rcp45","2085",79.5168844154614,82.4866112685195,89.6139110162462
"Adolfo Matthei","rcp85","2050",77.0003412374131,80.5959255908929,83.9619090561964
"Adolfo Matthei","rcp85","2085",70.4274283301693,75.8035520826033,87.8617323575436
"AEROPARQUE JORGE NEWBERY","rcp45","2050",25.9736930733407,29.396534560658,34.3526433356892
"AEROPARQUE JORGE NEWBERY","rcp45","2085",25.48433730547,29.5858533834926,50.1663818003153
"AEROPARQUE JORGE NEWBERY","rcp85","2050",20.5919863851796,25.6756225582576,29.4861525745919
"AEROPARQUE JORGE NEWBERY","rcp85","2085",11.0473189119491,19.748589423149,40.1783541969744
"AFONSO PENA","rcp45","2050",4.34270223658552,6.04254370840812,7.81772093195048
"AFONSO PENA","rcp45","2085",4.8091523533688,6.97130933955191,12.9383727124412
"AFONSO PENA","rcp85","2050",3.473461184016,5.25405214198526,6.66784053105448
"AFONSO PENA","rcp85","2085",1.00036084090431,3.02759543546955,7.45027609260552
"ALFONSO BONILLA ARAGON INTL","rcp45","2050",0,0,0
"ALFONSO BONILLA ARAGON INTL","rcp45","2085",0,0,0
"ALFONSO BONILLA ARAGON INTL","rcp85","2050",0,0,0
"ALFONSO BONILLA ARAGON INTL","rcp85","2085",0,0,0
"ALFREDO VASQUEZ COBO","rcp45","2050",0,0,0
"ALFREDO VASQUEZ COBO","rcp45","2085",0,0,0
"ALFREDO VASQUEZ COBO","rcp85","2050",0,0,0
"ALFREDO VASQUEZ COBO","rcp85","2085",0,0,0
"Alicahue","rcp45","2050",30.1508812919515,39.2526964149549,48.7678847404313
"Alicahue","rcp45","2085",30.136725991601,40.8666349864411,50.578778207102
"Alicahue","rcp85","2050",25.9282796240317,34.6106796102918,45.8793514539698
"Alicahue","rcp85","2085",15.037065256796,28.2115513650526,41.555429735346
"ALMIRANTE ZAR","rcp45","2050",64.3696435428265,68.6241718723904,71.2628590641079
"ALMIRANTE ZAR","rcp45","2085",66.0157678548862,69.3782457648795,78.2362968145098
"ALMIRANTE ZAR","rcp85","2050",62.2262449416667,66.2153567370947,68.8110075826376
"ALMIRANTE ZAR","rcp85","2085",58.6460080421484,61.7286742710812,73.408338173117
"AMBROSIO L V TARAVELLA","rcp45","2050",19.7905665762291,23.6684435033367,28.3240160196208
"AMBROSIO L V TARAVELLA","rcp45","2085",21.5390501563741,25.6971311980742,39.8118635351857
"AMBROSIO L V TARAVELLA","rcp85","2050",19.015159280525,21.8885703275209,25.3860173018384
"AMBROSIO L V TARAVELLA","rcp85","2085",12.6157013365575,18.7796658164823,33.5824596500627
"ARTIGAS INTL","rcp45","2050",11.7348287685172,15.5267731531692,19.368185844088
"ARTIGAS INTL","rcp45","2085",13.1216161146506,15.7507715635802,27.1042648044299
"ARTIGAS INTL","rcp85","2050",10.5833414520173,13.3023602822572,15.084511750965
"ARTIGAS INTL","rcp85","2085",5.00840845256073,8.92933145469192,17.7750342244362
"ARTURO MERINO BENITEZ INTL","rcp45","2050",35.0294458464953,45.6330263140744,53.0994318880137
"ARTURO MERINO BENITEZ INTL","rcp45","2085",35.2376719210816,47.3343091133938,57.6106231079398
"ARTURO MERINO BENITEZ INTL","rcp85","2050",30.77824598707,39.8444408478993,50.8342718019157
"ARTURO MERINO BENITEZ INTL","rcp85","2085",19.03255890281,32.2736915675905,48.0279037277805
"Ascasubi","rcp45","2050",60.3511526586108,63.4081965146634,65.4861274851692
"Ascasubi","rcp45","2085",61.2801611104105,64.7105038124291,76.1555914015562
"Ascasubi","rcp85","2050",58.4119962875511,60.8258769998229,64.000436364071
"Ascasubi","rcp85","2085",50.4161104837622,57.1342604015999,70.6678794790778
"Azapa","rcp45","2050",0,0,0
"Azapa","rcp45","2085",0,0,1.97888646214062
"Azapa","rcp85","2050",0,0,0
"Azapa","rcp85","2085",0,0,0
"BALMACEDA","rcp45","2050",80.5541600125143,82.1812458601235,83.1185373471981
"BALMACEDA","rcp45","2085",81.7846781627259,83.3056636650581,85.4672704635714
"BALMACEDA","rcp85","2050",80.9449885424256,83.0430797950539,85.0817579681907
"BALMACEDA","rcp85","2085",83.2883436369236,85.7585029194606,87.8645397785508
"Balmaceda Ad.","rcp45","2050",80.2378353240783,81.8004707338375,82.9408476802528
"Balmaceda Ad.","rcp45","2085",80.8240456720414,82.83028085054,85.078513640742
"Balmaceda Ad.","rcp85","2050",80.6170157395702,82.7520083756817,84.6026384598845
"Balmaceda Ad.","rcp85","2085",82.9563859754708,85.4284009699742,87.4883528367213
"Bernardo O'Higgins Chillan Ad.","rcp45","2050",65.5423922104267,70.8590070242044,76.8912616871276
"Bernardo O'Higgins Chillan Ad.","rcp45","2085",66.7381212486735,71.7340076450915,82.4496558134852
