"chillR_code","Name","CTRY","Latitude","Longitude","Elevation","BEGIN","END","distance","elevation_diff","Perc_Tmin","Perc_Tmax","Cod_Station","Institution","Source","Distance","N_Obs","Perc_days_complete"
"877650_99999","SAN CARLOS DE BARILOCHE","AR",-41.151,-71.158,846.1,19390201,20191115,916.17,-716.1,97.9466858789625,98.0115273775216,NA,NA,NA,NA,NA,NA
"872570_99999","CERES","AR",-29.883,-61.95,88,19390202,20191115,941.46,42,98.5158501440922,98.4942363112392,NA,NA,NA,NA,NA,NA
"857990_99999","EL TEPUAL INTL","CI",-41.439,-73.094,89.6,19350102,20191115,962.73,40.4,99.2219020172911,99.157060518732,NA,NA,NA,NA,NA,NA
"875480_99999","JUNIN","AR",-34.546,-60.931,79.9,19390201,20191115,969.6,50.1,99.164265129683,99.157060518732,NA,NA,NA,NA,NA,NA
"874800_99999","ROSARIO","AR",-32.904,-60.785,25.9,19390201,20191115,974.88,104.1,97.536023054755,97.5576368876081,NA,NA,NA,NA,NA,NA
"873710_99999","SAUCE VIEJO","AR",-31.712,-60.812,17.1,19730101,20191115,987.55,112.9,90.2521613832853,90.3674351585014,NA,NA,NA,NA,NA,NA
"873740_99999","GENERAL URQUIZA","AR",-31.795,-60.48,74.1,19390201,20191115,1016.91,55.9,92.1829971181556,92.1902017291066,NA,NA,NA,NA,NA,NA
"877500_99999","COMANDANTE ESPORA","AR",-38.725,-62.169,75,19390410,20191115,1041.12,55,97.507204610951,97.536023054755,NA,NA,NA,NA,NA,NA
"854420_99999","CERRO MORENO INTL","CI",-23.444,-70.445,138.7,19350101,20191115,1050.16,-8.69999999999999,99.5605187319885,99.5677233429395,NA,NA,NA,NA,NA,NA
"870470_99999","SALTA","AR",-24.856,-65.486,1246,19390201,20191115,1051.06,-1116,93.7175792507205,93.314121037464,NA,NA,NA,NA,NA,NA
"878030_99999","ESQUEL","AR",-42.908,-71.139,798.9,19570630,20191115,1111.33,-668.9,96.1383285302594,96.1311239193084,NA,NA,NA,NA,NA,NA
"870460_99999","JUJUY","AR",-24.393,-65.098,920.2,19730101,20191115,1115.23,-790.2,98.5806916426513,98.7319884726225,NA,NA,NA,NA,NA,NA
"877910_99999","GOBERNADOR CASTELLO","AR",-40.869,-63,6.1,19730101,20191115,1147.11,123.9,94.2291066282421,94.2363112391931,NA,NA,NA,NA,NA,NA
"872700_99999","RECONQUISTA AERO","AR",-29.183,-59.7,48,19730101,20191115,1172.47,82,94.4308357348703,94.4308357348703,NA,NA,NA,NA,NA,NA
"874970_99999","GUALEGUAYCHU","AR",-33.01,-58.613,22.9,19650307,20191115,1177.14,107.1,98.6311239193084,98.6239193083573,NA,NA,NA,NA,NA,NA
"875760_99999","MINISTRO PISTARINI","AR",-34.822,-58.536,20.4,19570630,20191115,1191.19,109.6,99.5893371757925,99.6037463976945,NA,NA,NA,NA,NA,NA
"876450_99999","TANDIL","AR",-37.237,-59.228,175,19730101,20191115,1193.08,-45,97.2334293948127,97.2334293948127,NA,NA,NA,NA,NA,NA
"875820_99999","AEROPARQUE JORGE NEWBERY","AR",-34.559,-58.416,5.5,19730101,20191115,1199.08,124.5,95.3314121037464,95.3314121037464,NA,NA,NA,NA,NA,NA
"865600_99999","LAGUNA DE LOS PATOS INTL","UY",-34.456,-57.771,21,19490101,20191115,1257.18,109,94.8270893371758,94.8198847262248,NA,NA,NA,NA,NA,NA
"878280_99999","ALMIRANTE ZAR","AR",-43.211,-65.27,43,19390202,20191115,1257.19,87,98.5590778097983,98.5374639769452,NA,NA,NA,NA,NA,NA
"863600_99999","NUEVA HESPERIDES INTL","UY",-31.433,-57.983,57,19490101,20191115,1257.2,73,97.9971181556196,97.9971181556196,NA,NA,NA,NA,NA,NA
"873950_99999","COMODORO PIERRESTEGUI","AR",-31.297,-57.997,34.1,19390201,20191115,1258.83,95.9,98.6815561959654,98.7247838616715,NA,NA,NA,NA,NA,NA
"871550_99999","RESISTENCIA","AR",-27.45,-59.056,52.7,19590101,20191115,1315.8,77.3,99.5317002881844,99.5172910662824,NA,NA,NA,NA,NA,NA
"871660_99999","CORRIENTES","AR",-27.446,-58.762,61.9,19730101,20191115,1341.19,68.1,95.2881844380403,95.3097982708934,NA,NA,NA,NA,NA,NA
"876920_99999","MAR DEL PLATA","AR",-37.934,-57.573,21.6,19390201,20191115,1356.99,108.4,98.4149855907781,98.4221902017291,NA,NA,NA,NA,NA,NA
"864600_99999","PASO DE LOS TOROS","UY",-32.8,-56.517,75,19501010,20191115,1374.31,55,94.4740634005764,94.4740634005764,NA,NA,NA,NA,NA,NA
"872890_99999","PASO DE LOS LIBRES","AR",-29.689,-57.152,70.1,19390201,20191115,1383.59,59.9,99.0345821325648,99.0561959654179,NA,NA,NA,NA,NA,NA
"865800_99999","CARRASCO INTL","UY",-34.838,-56.031,32,19490101,20191115,1419.42,98,99.7478386167147,99.7406340057637,NA,NA,NA,NA,NA,NA
"863300_99999","ARTIGAS INTL","UY",-30.401,-56.508,128,19490102,20191115,1420.34,2,92.7377521613833,92.7521613832853,NA,NA,NA,NA,NA,NA
"858740_99999","BALMACEDA","CI",-45.916,-71.689,524.9,19730101,20191115,1446.15,-394.9,94.978386167147,94.978386167147,NA,NA,NA,NA,NA,NA
"871620_99999","FORMOSA","AR",-26.213,-58.228,59.1,19730101,20191115,1458.17,70.9,96.4913544668588,96.5201729106628,NA,NA,NA,NA,NA,NA
"878600_99999","COMODORO RIVADAVIA","AR",-45.785,-67.466,57.9,19570630,20191115,1466.48,72.1,99.0129682997118,99.0057636887608,NA,NA,NA,NA,NA,NA
"863500_99999","PRESIDENTE GENERAL DON OSCAR D GESTIDO","UY",-30.975,-55.476,223,19490101,20191115,1501.44,-93,93.7463976945245,93.7391930835735,NA,NA,NA,NA,NA,NA
"865650_99999","ROCHA","UY",-34.483,-54.3,18,19490101,20191115,1575.8,112,96.664265129683,96.671469740634,NA,NA,NA,NA,NA,NA
"862180_99999","SILVIO PETTIROSSI INTL","PA",-25.24,-57.519,89,19490101,20191115,1577.99,41,99.4164265129683,99.4236311239193,NA,NA,NA,NA,NA,NA
"871780_99999","POSADAS","AR",-27.386,-55.971,131.1,19390101,20191115,1588.11,-1.09999999999999,99.2867435158501,99.3299711815562,NA,NA,NA,NA,NA,NA
"854060_99999","CHACALLUTA","CI",-18.349,-70.339,50.9,19350414,20191115,1613.93,79.1,99.6685878962536,99.6613832853026,NA,NA,NA,NA,NA,NA
"847820_99999","CORONEL CARLOS CIRIANI SANTA ROSA INTL","PE",-18.053,-70.276,468.8,19570701,20191115,1647,-338.8,91.671469740634,91.671469740634,NA,NA,NA,NA,NA,NA
"852230_99999","JORGE WILSTERMAN","BL",-17.421,-66.177,2548.1,19420201,20191115,1787.05,-2418.1,99.3876080691643,99.3659942363112,NA,NA,NA,NA,NA,NA
"870970_99999","CATARATAS DEL IGUAZU","AR",-25.737,-54.473,279.2,19390102,20191115,1805.96,-149.2,95.0432276657061,95.0504322766571,NA,NA,NA,NA,NA,NA
"838270_99999","CATARATAS INTL","BR",-25.596,-54.487,239.9,19530301,20191115,1812.6,-109.9,93.2132564841499,93.2204610951009,NA,NA,NA,NA,NA,NA
"852010_99999","EL ALTO INTL","BL",-16.513,-68.192,4061.5,19360401,20191115,1840,-3931.5,99.5605187319885,99.5317002881844,NA,NA,NA,NA,NA,NA
"879090_99999","SAN JULIAN","AR",-49.307,-67.803,57.9,19730101,20191115,1844.41,72.1,93.314121037464,93.314121037464,NA,NA,NA,NA,NA,NA
"852450_99999","EL TROMPILLO","BL",-17.812,-63.171,417.9,19421001,20191115,1854.84,-287.9,93.9048991354467,93.9553314121037,NA,NA,NA,NA,NA,NA
"839710_99999","SALGADO FILHO","BR",-29.994,-51.171,3.4,19730101,20191115,1928.72,126.6,94.8631123919308,94.8775216138329,NA,NA,NA,NA,NA,NA
"879250_99999","RIO GALLEGOS","AR",-51.609,-69.313,18.6,19590107,20191115,2084.36,111.4,98.6023054755043,98.5806916426513,NA,NA,NA,NA,NA,NA
"851540_99999","TTE AV JORGE HENRICH ARAUZ","BL",-14.819,-64.918,155.1,19430101,20191115,2100.98,-25.1,94.3876080691643,94.5100864553314,NA,NA,NA,NA,NA,NA
"836120_99999","CAMPO GRANDE","BR",-20.469,-54.673,558.7,19360824,20191115,2140.62,-428.7,99.2939481268012,99.2939481268012,NA,NA,NA,NA,NA,NA
"846860_99999","TENIENTE ALEJANDRO VELASCO ASTETE INTL","PE",-13.536,-71.939,3310.1,19490303,20191115,2145.46,-3180.1,98.8760806916427,98.8760806916427,NA,NA,NA,NA,NA,NA
"846910_99999","PISCO INTL","PE",-13.745,-76.22,11.9,19350415,20191115,2181.21,118.1,98.9841498559078,98.9913544668588,NA,NA,NA,NA,NA,NA
"837680_99999","LONDRINA 2","BR",-23.334,-51.13,569.1,19730101,20191115,2233.74,-439.1,95.3602305475504,95.3530259365994,NA,NA,NA,NA,NA,NA
"859340_99999","CARLOS IBANEZ DEL CAMPO INTL","CI",-53.003,-70.855,42.4,19350101,20191115,2233.96,87.6,99.128242074928,99.0273775216138,NA,NA,NA,NA,NA,NA
