"Station name","Country","Database","Latitude","Longitude","Elevation","Percentage of data complete"
"Paloma Embalse","CL","CR2","30.7 °S","71.04 °W",320,96.6
"PRESIDENTE GENERAL DON OSCAR D GESTIDO","UY","GSOD","30.98 °S","55.48 °W",223,93.7
"Cogoti Embalse","CL","CR2","31.01 °S","71.09 °W",740,96.6
"Las Ramadas","CL","CR2","31.02 °S","70.59 °W",1380,95.9
"COMODORO PIERRESTEGUI","AR","GSOD","31.3 °S","58 °W",34.1,98.7
"AMBROSIO L V TARAVELLA","AR","GSOD","31.32 °S","64.21 °W",488.9,99.5
"NUEVA HESPERIDES INTL","UY","GSOD","31.43 °S","57.98 °W",57,98
"SAN JUAN","AR","GSOD","31.57 °S","68.42 °W",597.1,99.2
"Illapel Dga","CL","CR2","31.64 °S","71.19 °W",290,96.5
"SAUCE VIEJO","AR","GSOD","31.71 °S","60.81 °W",17.1,90.3
"GENERAL URQUIZA","AR","GSOD","31.8 °S","60.48 °W",74.1,92.2
"La Tranquilla","CL","CR2","31.9 °S","70.67 °W",1000,97.3
"Los Condores","CL","CR2","32.11 °S","71.31 °W",190,93.8
"Alicahue","CL","CR2","32.34 °S","70.75 °W",750,95
"MARCOS JUAREZ","AR","GSOD","32.68 °S","62.16 °W",110,98.9
"PASO DE LOS TOROS","UY","GSOD","32.8 °S","56.52 °W",75,94.5
"EL PLUMERILLO","AR","GSOD","32.83 °S","68.79 °W",704.1,99.5
"Vilcuya","CL","CR2","32.86 °S","70.47 °W",1100,94.8
"Quillota","CL","CR2","32.9 °S","71.21 °W",130,95.1
"ROSARIO","AR","GSOD","32.9 °S","60.78 °W",25.9,97.5
"GUALEGUAYCHU","AR","GSOD","33.01 °S","58.61 °W",22.9,98.6
"RIO CUARTO AREA DE MATERIAL","AR","GSOD","33.08 °S","64.26 °W",420.9,98.6
"Lliu-Lliu Embalse","CL","CR2","33.1 °S","71.21 °W",260,95.3
"Lago Peuelas","CL","CR2","33.15 °S","71.56 °W",360,95.6
"SAN LUIS","AR","GSOD","33.27 °S","66.36 °W",709.9,97.4
"Pudahuel Santiago","CL","CR2","33.39 °S","70.79 °W",482,100
"ARTURO MERINO BENITEZ INTL","CL","GSOD","33.39 °S","70.79 °W",474,99.7
"Cerro Calan","CL","CR2","33.4 °S","70.54 °W",848,99.9
"Los Panguiles","CL","CR2","33.44 °S","71.03 °W",190,93.4
"Quinta Normal Santiago","CL","CR2","33.44 °S","70.68 °W",527,100
"Eulogio Sanchez Tobalaba Ad.","CL","CR2","33.45 °S","70.55 °W",650,97.4
"Santo Domingo Ad.","CL","CR2","33.66 °S","71.61 °W",75,98.1
"Pirque","CL","CR2","33.67 °S","70.59 °W",659,92.6
"VILLA REYNOLDS","AR","GSOD","33.73 °S","65.39 °W",484.9,90.9
"LAGUNA DE LOS PATOS INTL","UY","GSOD","34.46 °S","57.77 °W",21,94.8
"ROCHA","UY","GSOD","34.48 °S","54.3 °W",18,96.7
"JUNIN","AR","GSOD","34.55 °S","60.93 °W",79.9,99.2
"AEROPARQUE JORGE NEWBERY","AR","GSOD","34.56 °S","58.42 °W",5.5,95.3
"SAN RAFAEL","AR","GSOD","34.59 °S","68.4 °W",752.9,98.7
"MINISTRO PISTARINI","AR","GSOD","34.82 °S","58.54 °W",20.4,99.6
"CARRASCO INTL","UY","GSOD","34.84 °S","56.03 °W",32,99.7
"General Freire Curico Ad.","CL","CR2","34.97 °S","71.22 °W",225,99.9
"Potrero Grande","CL","CR2","35.18 °S","71.1 °W",445,99
"Talca U.C.","CL","CR2","35.44 °S","71.62 °W",130,91.5
"MALARGUE","AR","GSOD","35.49 °S","69.57 °W",1430.1,94.7
"Colorado","CL","CR2","35.64 °S","71.26 °W",420,90.4
"Parral","CL","CR2","36.19 °S","71.83 °W",175,99.2
"Digua Embalse","CL","CR2","36.26 °S","71.55 °W",390,99.7
