"station_name","Elevation","Latitude","Longitude","CTRY","observed_SWC","X1981","X1985","X1989","X1993","X1997","X2001","X2005","X2009","X2013","X2017","rcp45_2050_pessimistic","rcp45_2050_intermediate","rcp45_2050_optimistic","rcp45_2085_pessimistic","rcp45_2085_intermediate","rcp45_2085_optimistic","rcp85_2050_pessimistic","rcp85_2050_intermediate","rcp85_2050_optimistic","rcp85_2085_pessimistic","rcp85_2085_intermediate","rcp85_2085_optimistic","avg_temp_jul","avg_temp_aug","min_temp_jul","min_temp_aug","max_temp_jul","max_temp_aug","obs_avg_temp_jul","obs_tmin_jul","obs_tmax_jul","sd_obs_avg_temp_jul","sd_obs_tmin_jul","sd_obs_tmax_jul","obs_avg_temp_aug","obs_tmin_aug","obs_tmax_aug","sd_obs_avg_temp_aug","sd_obs_tmin_aug","sd_obs_tmax_aug","outlier","outlier_tmin_jul","outlier_tmean_jul","outlier_tmax_jul"
"Adolfo Matthei",55,-40.5883,-73.1069,"CI",84.5324589384053,85.8327550231832,86.3863542446579,86.2219530622924,85.823687718057,86.1632311759349,85.9103410811131,87.1384877231749,86.4840073195719,86.893954258846,86.6974329551049,81.3868390246377,82.721276382209,83.6577252635683,81.5786427387034,82.4866112685195,85.1893447702144,79.5449572181854,80.5959255908929,82.353745576142,72.5740272261577,75.8035520826033,80.930588034622,6.90000009536743,7.40000009536743,3,3.20000004768372,10.8999996185303,11.6999998092651,7.07,3.28,10.86,2.84,4.17,2.37,7.96,3.61,12.32,2.51,3.83,2.39,FALSE,FALSE,FALSE,FALSE
"AEROPARQUE JORGE NEWBERY",5.5,-34.559,-58.416,"AR",39.1754917186675,44.335031675892,43.6379467267634,44.7831695319483,41.8646359217605,39.7135842754219,40.5091398448257,40.4158259989454,39.0261267067872,37.3333601056308,34.2448964908508,27.3013686196506,29.396534560658,31.1846289153087,27.5421445582778,29.5858533834926,32.5015944395425,23.1962776680167,25.6756225582576,27.8226099758949,14.16492543096,19.748589423149,28.4443552680017,10.8999996185303,12.5,7,8,14.8999996185303,17,11.25,8.25,14.25,3.05,3.55,3.21,13.26,9.81,16.71,3.06,3.32,3.59,FALSE,FALSE,FALSE,FALSE
"AFONSO PENA",910.7,-25.528,-49.176,"BR",13.2172022084883,19.0472136148996,20.2139931774835,18.363725499413,18.0441063764366,16.7949507391586,14.4518800356639,15.3490222708363,16.852095275392,17.4401048275877,19.0054625960222,5.26212291793759,6.04254370840812,7.01390353333794,4.95261299446927,6.97130933955191,8.48221405727136,3.78239901264064,5.25405214198526,5.97803271905213,1.23525392757117,3.02759543546955,3.81417035537814,14.3999996185303,15.5,8.69999980926514,9.5,20.1000003814697,21.5,14.46,8.7,20.22,3.66,3.95,4.73,15.56,9.34,21.78,3.57,3.55,5.02,FALSE,FALSE,FALSE,FALSE
"ALFONSO BONILLA ARAGON INTL",963.8,3.543,-76.382,"CO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8999996185303,24,18,18,29.7000007629395,30,24.3,18.6,30,1.08,1.5,1.72,24.59,18.66,30.51,1.06,1.34,1.84,FALSE,FALSE,FALSE,FALSE
"ALFREDO VASQUEZ COBO",84.4,-4.193,-69.943,"CO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7999992370605,26.5,21.3999996185303,21.7000007629395,30.2999992370605,31.2000007629395,25.55,21.35,29.75,1.69,1.89,2.19,26.17,21.53,30.81,1.53,1.79,2.17,FALSE,FALSE,FALSE,FALSE
"Alicahue",750,-32.3408,-70.7528,"CI",50.6846055665027,52.9014684863832,52.5397150036333,53.9439862207146,49.777693123435,50.8770112326592,51.2134453153403,50.8538515522669,49.9608353721113,50.9040697305982,51.2089731237579,36.2669678486769,39.2526964149549,42.6228910834812,36.0416086458625,40.8666349864411,45.4357453914972,31.6955452154752,34.6106796102918,39.3456520368083,21.2084113351998,28.2115513650526,36.1901458773083,10.1999998092651,10.8000001907349,4.30000019073486,4.59999990463257,16.1000003814697,16.8999996185303,10.56,5.17,15.96,3.3,2.81,4.85,11.34,5.57,17.11,3.19,2.64,4.77,FALSE,FALSE,FALSE,FALSE
"ALMIRANTE ZAR",43,-43.211,-65.27,"AR",69.1471982323007,74.811071613628,74.345191151674,73.170759783131,70.6719932626906,69.7631198223303,69.3240302634767,71.0157885904382,70.0990342183168,69.0438786391633,67.5672539590578,67.4666903436919,68.6241718723904,69.7417619736891,67.908878851755,69.3782457648795,71.686911464645,65.3386359922389,66.2153567370947,68.0337213814386,59.7930863007698,61.7286742710812,67.1839946463725,6.30000019073486,8.19999980926514,0.899999976158142,2.20000004768372,11.6999998092651,14.3000001907349,6.67,0.46,12.88,3.8,4.36,4.36,8.85,1.83,15.86,3.45,4.05,4.08,FALSE,FALSE,FALSE,FALSE
"AMBROSIO L V TARAVELLA",488.9,-31.324,-64.208,"AR",32.1123140203526,33.9354838282388,33.5922854024761,33.0494373666097,32.6451779613762,32.2017453327505,31.3912806864837,30.8352100333573,29.9983469340127,29.5421468647319,29.5027370463281,22.5199437551616,23.6684435033367,26.0732376776424,23.1760230893007,25.6971311980742,30.9593837341502,20.4332170687829,21.8885703275209,24.5080919111232,14.0410728723389,18.7796658164823,24.961604714365,10.1999998092651,12.1999998092651,3.40000009536743,4.80000019073486,17,19.6000003814697,11.16,3.81,18.5,4.01,4.39,5.05,13.76,6.1,21.43,4.41,4.39,5.58,FALSE,FALSE,FALSE,FALSE
"ARTIGAS INTL",128,-30.401,-56.508,"UY",21.7791247318806,20.9021020104763,21.66179846518,21.9849619616623,21.755441776148,20.1949986382842,19.9608343179757,20.8290258471466,20.9355073337582,21.2801426064648,20.6488988048495,13.1821038882327,15.5267731531692,16.2621376367335,14.7429576362312,15.7507715635802,17.35529844765,10.9459613185755,13.3023602822572,14.4431218706105,6.89516405137745,8.92933145469192,13.3020861551263,13,14.6999998092651,7.59999990463257,8.69999980926514,18.3999996185303,20.7000007629395,13.51,8,19.03,4.83,5.56,4.88,15.79,9.59,21.98,4.66,5.21,4.93,FALSE,FALSE,FALSE,FALSE
"ARTURO MERINO BENITEZ INTL",474,-33.393,-70.786,"CI",55.3335182215422,63.7280850659517,62.3610479546142,61.3108870940032,56.536151367271,54.9893494620528,56.2126913284551,55.5684482700362,54.2709632519154,53.4848964431596,51.4310948085504,39.3602300164073,45.6330263140744,48.6461960199795,41.041194250353,47.3343091133938,52.0518356669795,36.0677815264751,39.8444408478993,45.5705018556038,24.3881143753156,32.2736915675905,43.1757849706838,8.19999980926514,9.60000038146973,2.70000004768372,3.79999995231628,13.6999998092651,15.5,8.95,2.24,15.66,2.28,3.41,3.73,10.46,3.26,17.66,2.48,3.42,3.9,FALSE,FALSE,FALSE,FALSE
