"station_name","Elevation","Latitude","Longitude","CTRY"
"Adolfo Matthei",55,-40.5883,-73.1069,"CI"
"Canal Bajo Osorno Ad.",61,-40.605,-73.0608,"CI"
"El Tepual Puerto Montt Ap.",85,-41.435,-73.0978,"CI"
"Cerro Moreno Antofagasta Ap.",113,-23.4503,-70.4411,"CI"
"Futaleufu Ad.",347,-43.1889,-71.8525,"CI"
"El Loa Calama Ad.",2293,-22.4989,-68.9072,"CI"
"Chiu-Chiu",2524,-22.3378,-68.6367,"CI"
"Diego Aracena Iquique Ap.",52,-20.5397,-70.1786,"CI"
"Teniente Vidal Coyhaique Ad.",310,-45.5939,-72.1086,"CI"
"Balmaceda Ad.",517,-45.9128,-71.6942,"CI"
"Chile Chico Ad.",306,-46.5808,-71.6928,"CI"
"Codpa",1870,-18.8322,-69.7439,"CI"
"Azapa",365,-18.5156,-70.1806,"CI"
"Lord Cochrane Ad.",204,-47.2439,-72.5864,"CI"
"Chacalluta Arica Ap.",63,-18.3514,-70.3358,"CI"
"Torres Del Paine",25,-51.1842,-72.9669,"CI"
"Punta Arenas",38,-53.0033,-70.845,"CI"
"Punta Arenas",5,-53.1233,-70.8772,"CI"
"Ascasubi",22,-39.38,-62.62,"AR"
"Maquinchao",887,-41.25,-68.73,"AR"
"Neuquen",271,-38.95,-67.97,"AR"
"Trelew",10,-43.23,-65.32,"AR"
"Viedma",7,-40.85,-63.02,"AR"
"ARTURO MERINO BENITEZ INTL",474,-33.393,-70.786,"CI"
"EL PLUMERILLO",704.1,-32.832,-68.793,"AR"
"SAN JUAN",597.1,-31.571,-68.418,"AR"
"SAN RAFAEL",752.9,-34.588,-68.403,"AR"
"MALARGUE",1430.1,-35.494,-69.574,"AR"
"LA FLORIDA",146.6,-29.916,-71.2,"CI"
"SAN LUIS",709.9,-33.273,-66.356,"AR"
"CARRIEL SUR INTL",7.9,-36.773,-73.063,"CI"
"VILLA REYNOLDS",484.9,-33.73,-65.387,"AR"
"LA RIOJA",437.7,-29.382,-66.796,"AR"
"RIO CUARTO AREA DE MATERIAL",420.9,-33.085,-64.261,"AR"
"AMBROSIO L V TARAVELLA",488.9,-31.324,-64.208,"AR"
"CATAMARCA",463.9,-28.596,-65.752,"AR"
"PRESIDENTE PERON",272.8,-38.949,-68.156,"AR"
"SANTA ROSA",192,-36.588,-64.276,"AR"
"MARCOS JUAREZ",110,-32.684,-62.158,"AR"
"SANTIAGO DEL ESTERO",199.9,-27.766,-64.31,"AR"
"SAN CARLOS DE BARILOCHE",846.1,-41.151,-71.158,"AR"
"CERES",88,-29.883,-61.95,"AR"
"EL TEPUAL INTL",89.6,-41.439,-73.094,"CI"
"JUNIN",79.9,-34.546,-60.931,"AR"
"ROSARIO",25.9,-32.904,-60.785,"AR"
"SAUCE VIEJO",17.1,-31.712,-60.812,"AR"
"GENERAL URQUIZA",74.1,-31.795,-60.48,"AR"
"COMANDANTE ESPORA",75,-38.725,-62.169,"AR"
"CERRO MORENO INTL",138.7,-23.444,-70.445,"CI"
"SALTA",1246,-24.856,-65.486,"AR"
"ESQUEL",798.9,-42.908,-71.139,"AR"
"JUJUY",920.2,-24.393,-65.098,"AR"
"GOBERNADOR CASTELLO",6.1,-40.869,-63,"AR"
"RECONQUISTA AERO",48,-29.183,-59.7,"AR"
"GUALEGUAYCHU",22.9,-33.01,-58.613,"AR"
"MINISTRO PISTARINI",20.4,-34.822,-58.536,"AR"
"TANDIL",175,-37.237,-59.228,"AR"
"AEROPARQUE JORGE NEWBERY",5.5,-34.559,-58.416,"AR"
"LAGUNA DE LOS PATOS INTL",21,-34.456,-57.771,"UY"
"ALMIRANTE ZAR",43,-43.211,-65.27,"AR"
"NUEVA HESPERIDES INTL",57,-31.433,-57.983,"UY"
"COMODORO PIERRESTEGUI",34.1,-31.297,-57.997,"AR"
"RESISTENCIA",52.7,-27.45,-59.056,"AR"
"CORRIENTES",61.9,-27.446,-58.762,"AR"
"MAR DEL PLATA",21.6,-37.934,-57.573,"AR"
"PASO DE LOS TOROS",75,-32.8,-56.517,"UY"
"PASO DE LOS LIBRES",70.1,-29.689,-57.152,"AR"
"CARRASCO INTL",32,-34.838,-56.031,"UY"
"ARTIGAS INTL",128,-30.401,-56.508,"UY"
"BALMACEDA",524.9,-45.916,-71.689,"CI"
"FORMOSA",59.1,-26.213,-58.228,"AR"
"COMODORO RIVADAVIA",57.9,-45.785,-67.466,"AR"
"PRESIDENTE GENERAL DON OSCAR D GESTIDO",223,-30.975,-55.476,"UY"
"ROCHA",18,-34.483,-54.3,"UY"
"SILVIO PETTIROSSI INTL",89,-25.24,-57.519,"PA"
"POSADAS",131.1,-27.386,-55.971,"AR"
"CHACALLUTA",50.9,-18.349,-70.339,"CI"
"CORONEL CARLOS CIRIANI SANTA ROSA INTL",468.8,-18.053,-70.276,"PE"
"JORGE WILSTERMAN",2548.1,-17.421,-66.177,"BL"
"CATARATAS DEL IGUAZU",279.2,-25.737,-54.473,"AR"
"CATARATAS INTL",239.9,-25.596,-54.487,"BR"
"RODRIGUEZ BALLON",2561.8,-16.341,-71.583,"PE"
"EL ALTO INTL",4061.5,-16.513,-68.192,"BL"
"SAN JULIAN",57.9,-49.307,-67.803,"AR"
"EL TROMPILLO",417.9,-17.812,-63.171,"BL"
"SALGADO FILHO",3.4,-29.994,-51.171,"BR"
"RIO GALLEGOS",18.6,-51.609,-69.313,"AR"
"TTE AV JORGE HENRICH ARAUZ",155.1,-14.819,-64.918,"BL"
"CAMPO GRANDE",558.7,-20.469,-54.673,"BR"
"TENIENTE ALEJANDRO VELASCO ASTETE INTL",3310.1,-13.536,-71.939,"PE"
"PISCO INTL",11.9,-13.745,-76.22,"PE"
"LONDRINA 2",569.1,-23.334,-51.13,"BR"
"CARLOS IBANEZ DEL CAMPO INTL",42.4,-53.003,-70.855,"CI"
"HERCILIO LUZ",6.1,-27.67,-48.547,"BR"
"AFONSO PENA",910.7,-25.528,-49.176,"BR"
"RIO GRANDE 2",19.8,-53.778,-67.749,"AR"
